
Миграционный прирост, человек, значение показателя за год, Всего, Всего
;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;
Пчевское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;80;59;5;1;-23;8;-17;-10;-27;11;6;0;
в пределах России;;;;;;;;;;;;;
Сельские поселения;76;38;3;-10;-26;1;-23;-8;-35;0;-2;-4;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;10;8;-10;-18;-15;-3;-10;-1;-11;-2;0;2;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;66;30;13;8;-11;4;-13;-7;-24;2;-2;-6;
международная;;;;;;;;;;;;;
Сельские поселения;4;21;2;11;3;7;6;-2;8;11;8;4;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;4;21;2;11;3;7;6;-2;8;11;8;4;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;70;51;15;19;-8;11;-7;-9;-16;13;6;-2;
Кировский муниципальный район;;;;;;;;;;;;;
Кировский муниципальный район;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Муниципальный район;1905;2532;194;1454;-126;961;1159;737;678;936;-312;124;
в пределах России;;;;;;;;;;;;;
Муниципальный район;1354;595;716;994;592;614;685;801;734;881;-373;280;
внутрирегиональная;;;;;;;;;;;;;
Муниципальный район;-16;-35;-91;39;-13;39;88;-33;67;90;-172;-109;
межрегиональная;;;;;;;;;;;;;
Муниципальный район;1370;630;807;955;605;575;597;834;667;791;-201;389;
международная;;;;;;;;;;;;;
Муниципальный район;551;1937;-522;460;-718;347;474;-64;-56;55;61;-156;
со странами СНГ;;;;;;;;;;;;;
Муниципальный район;539;1920;-517;438;-735;336;484;-63;-55;71;65;-129;
с другими зарубежными странами;;;;;;;;;;;;;
Муниципальный район;12;17;-5;22;17;11;-10;-1;-1;-16;-4;-27;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Муниципальный район;1921;2567;285;1415;-113;922;1071;770;611;846;-140;233;
Кировское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;173;455;-44;550;187;503;615;484;338;;133;180;
в пределах России;;;;;;;;;;;;;
Городские поселения;100;69;197;335;352;384;513;532;329;;102;194;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;-14;55;49;43;82;109;244;174;186;;83;-7;
межрегиональная;;;;;;;;;;;;;
Городские поселения;114;14;148;292;270;275;269;358;143;;19;201;
международная;;;;;;;;;;;;;
Городские поселения;73;386;-241;215;-165;119;102;-48;9;;31;-14;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;71;388;-240;207;-167;115;99;-50;11;;28;-5;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;2;-2;-1;8;2;4;3;2;-2;;3;-9;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;187;400;-93;507;105;394;371;310;152;;50;187;
Шлиссельбургское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;481;485;276;258;-38;12;7;130;103;;-72;-34;
в пределах России;;;;;;;;;;;;;
Городские поселения;411;225;193;184;137;-5;-19;133;88;;-84;-14;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;13;-28;16;26;9;-43;-56;-15;-41;;-72;-17;
межрегиональная;;;;;;;;;;;;;
Городские поселения;398;253;177;158;128;38;37;148;129;;-12;3;
международная;;;;;;;;;;;;;
Городские поселения;70;260;83;74;-175;17;26;-3;15;;12;-20;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;69;260;82;74;-176;18;31;-10;19;;12;-19;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;1;0;1;0;1;-1;-5;7;-4;;0;-1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;468;513;260;232;-47;55;63;145;144;;0;-17;
Отрадненское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;688;607;353;356;-251;196;179;285;345;;47;-24;
в пределах России;;;;;;;;;;;;;
Городские поселения;428;133;268;330;144;135;136;231;265;;-18;30;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;44;-18;-19;7;-28;-18;14;-13;39;;32;-8;
межрегиональная;;;;;;;;;;;;;
Городские поселения;384;151;287;323;172;153;122;244;226;;-50;38;
международная;;;;;;;;;;;;;
Городские поселения;260;474;85;26;-395;61;43;54;80;;65;-54;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;253;462;85;18;-402;60;44;51;78;;64;-42;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;7;12;;8;7;1;-1;3;2;;1;-12;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;644;625;372;349;-223;214;165;298;306;;15;-16;
Мгинское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;263;337;-110;61;17;124;16;-14;87;-181;-185;5;
в пределах России;;;;;;;;;;;;;
Городские поселения;199;96;10;20;23;82;17;-22;74;-162;-166;21;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;-8;9;-32;-3;-14;0;-27;-41;-49;-45;-67;-20;
межрегиональная;;;;;;;;;;;;;
Городские поселения;207;87;42;23;37;82;44;19;123;-117;-99;41;
международная;;;;;;;;;;;;;
Городские поселения;64;241;-120;41;-6;42;-1;8;13;-19;-19;-16;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;67;236;-117;38;-5;38;2;8;14;-18;-18;-16;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;-3;5;-3;3;-1;4;-3;0;-1;-1;-1;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;271;328;-78;64;31;124;43;27;136;-136;-118;25;
Назиевское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;77;209;-54;42;68;29;35;-11;42;-10;-107;-37;
в пределах России;;;;;;;;;;;;;
Городские поселения;48;120;13;18;29;3;21;-8;27;-2;-101;-32;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;-9;19;-3;-5;4;15;3;-5;18;-18;-45;-30;
межрегиональная;;;;;;;;;;;;;
Городские поселения;57;101;16;23;25;-12;18;-3;9;16;-56;-2;
международная;;;;;;;;;;;;;
Городские поселения;29;89;-67;24;39;26;14;-3;15;-8;-6;-5;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;28;87;-67;29;39;26;13;0;14;-8;-6;-5;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;1;2;;-5;0;;1;-3;1;;;0;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;86;190;-51;47;64;14;32;-6;24;8;-62;-7;
Павловское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;59;210;-130;16;-47;23;29;48;66;-7;-47;9;
в пределах России;;;;;;;;;;;;;
Городские поселения;42;-44;7;7;8;16;22;25;42;5;-38;28;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;-3;-17;-15;-8;-7;-4;-15;-14;23;-34;-34;3;
межрегиональная;;;;;;;;;;;;;
Городские поселения;45;-27;22;15;15;20;37;39;19;39;-4;25;
международная;;;;;;;;;;;;;
Городские поселения;17;254;-137;9;-55;7;7;23;24;-12;-9;-19;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;15;254;-143;8;-59;3;9;24;20;-12;-4;-19;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;2;;6;1;4;4;-2;-1;4;0;-5;0;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;62;227;-115;24;-40;27;44;62;43;27;-13;6;
Приладожское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;-4;79;-107;36;-14;0;7;-40;-16;;27;-41;
в пределах России;;;;;;;;;;;;;
Городские поселения;-8;-4;-32;21;-31;0;9;-44;-19;;27;-31;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;-16;-19;-25;-26;-2;-19;-31;-52;-47;;-4;-27;
межрегиональная;;;;;;;;;;;;;
Городские поселения;8;15;-7;47;-29;19;40;8;28;;31;-4;
международная;;;;;;;;;;;;;
Городские поселения;4;83;-75;15;17;0;-2;4;3;;0;-10;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;3;83;-77;14;13;1;1;4;4;;0;-8;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;1;;2;1;4;-1;-3;0;-1;;;-2;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;12;98;-82;62;-12;19;38;12;31;;31;-14;
Синявинское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;50;138;-6;46;-25;71;247;-112;-204;47;-10;83;
в пределах России;;;;;;;;;;;;;
Городские поселения;41;4;69;35;-18;18;-16;-15;8;49;-8;94;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;-13;-17;-15;-4;-18;11;-19;-44;-29;-20;-14;10;
межрегиональная;;;;;;;;;;;;;
Городские поселения;54;21;84;39;0;7;3;29;37;69;6;84;
международная;;;;;;;;;;;;;
Городские поселения;9;134;-75;11;-7;53;263;-97;-212;-2;-2;-11;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;10;133;-70;11;-10;53;264;-93;-212;-1;-1;-10;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;-1;1;-5;0;3;0;-1;-4;;-1;-1;-1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;63;155;9;50;-7;60;266;-68;-175;67;4;73;
Путиловское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;46;-14;19;11;-12;-10;13;-24;-2;;-28;-5;
в пределах России;;;;;;;;;;;;;
Сельские поселения;40;-27;4;-1;-25;-18;11;-14;-1;;-24;-4;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-6;-23;-16;4;-22;-9;-17;2;-11;;-20;-12;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;46;-4;20;-5;-3;-9;28;-16;10;;-4;8;
международная;;;;;;;;;;;;;
Сельские поселения;6;13;15;12;13;8;2;-10;-1;;-4;-1;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;7;13;15;12;13;8;3;-10;-1;;-4;-1;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;-1;;;0;0;;-1;;;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;52;9;35;7;10;-1;30;-26;9;;-8;7;
Суховское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;20;0;9;26;-21;21;-5;-2;1;1;-19;-9;
в пределах России;;;;;;;;;;;;;
Сельские поселения;17;-2;5;17;-20;11;-9;-7;0;4;-17;-9;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;2;-6;-8;4;-7;3;-5;-11;3;0;-5;-7;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;15;4;13;13;-13;8;-4;4;-3;4;-12;-2;
международная;;;;;;;;;;;;;
Сельские поселения;3;2;4;9;-1;10;4;5;1;-3;-2;;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;1;2;4;7;1;9;5;5;1;-3;-2;;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;2;;;2;-2;1;-1;;;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;18;6;17;22;-14;18;0;9;-2;1;-14;-2;
Шумское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;52;26;-12;52;10;-8;16;-7;-82;;-51;-3;
в пределах России;;;;;;;;;;;;;
Сельские поселения;36;25;-18;28;-7;-12;0;-10;-79;;-46;3;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-6;10;-23;1;-10;-6;-3;-14;-25;;-26;6;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;42;15;5;27;3;-6;3;4;-54;;-20;-3;
международная;;;;;;;;;;;;;
Сельские поселения;16;1;6;24;17;4;16;3;-3;;-5;-6;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;15;2;11;20;18;5;13;8;-3;;-4;-4;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;1;-1;-5;4;-1;-1;3;-5;;;-1;-2;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;58;16;11;51;20;-2;19;7;-57;;-25;-9;
Лодейнопольский муниципальный район;;;;;;;;;;;;;
Лодейнопольский муниципальный район;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Муниципальный район;42;-135;2;219;127;-149;-31;-155;-209;25;140;52;
в пределах России;;;;;;;;;;;;;
Муниципальный район;-7;-171;-18;135;104;-191;-72;-168;-218;3;20;46;
внутрирегиональная;;;;;;;;;;;;;
Муниципальный район;8;-53;-33;21;21;-16;-15;-58;-84;-34;-29;4;
межрегиональная;;;;;;;;;;;;;
Муниципальный район;-15;-118;15;114;83;-175;-57;-110;-134;37;49;42;
международная;;;;;;;;;;;;;
Муниципальный район;49;36;20;84;23;42;41;13;9;22;120;6;
со странами СНГ;;;;;;;;;;;;;
Муниципальный район;34;32;21;79;11;43;33;12;10;22;113;13;
с другими зарубежными странами;;;;;;;;;;;;;
Муниципальный район;15;4;-1;5;12;-1;8;1;-1;0;7;-7;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Муниципальный район;34;-82;35;198;106;-133;-16;-97;-125;59;169;48;
Лодейнопольское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;-57;-96;-39;30;32;-141;-40;-64;-93;;58;21;
в пределах России;;;;;;;;;;;;;
Городские поселения;-89;-113;-53;-8;8;-145;-62;-61;-92;;10;15;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;1;0;25;50;36;16;35;4;1;;10;1;
межрегиональная;;;;;;;;;;;;;
Городские поселения;-90;-113;-78;-58;-28;-161;-97;-65;-93;;0;14;
международная;;;;;;;;;;;;;
Городские поселения;32;17;14;38;24;4;22;-3;-1;;48;6;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;18;16;16;37;19;7;21;-2;-2;;44;10;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;14;1;-2;1;5;-3;1;-1;1;;4;-4;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;-58;-96;-64;-20;-4;-157;-75;-68;-94;;48;20;
Свирьстройское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;19;16;13;5;-1;-10;-16;-5;-23;18;27;86;
в пределах России;;;;;;;;;;;;;
Городские поселения;19;14;13;4;-5;-12;-16;-6;-22;16;22;75;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;6;15;;2;-9;-10;-8;-2;-16;14;5;51;
межрегиональная;;;;;;;;;;;;;
Городские поселения;13;-1;13;2;4;-2;-8;-4;-6;2;17;24;
международная;;;;;;;;;;;;;
Городские поселения;;2;;1;4;2;0;1;-1;2;5;11;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;;;;1;3;1;0;;-1;1;4;10;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;;2;;;1;1;0;1;0;1;1;1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;13;1;13;3;8;0;-8;-3;-7;4;22;35;
Алеховщинское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;33;-21;-16;3;27;23;-21;-20;-23;;53;-11;
в пределах России;;;;;;;;;;;;;
Сельские поселения;25;-30;-16;1;23;7;-29;-13;-26;;14;-12;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;7;-31;-32;-17;1;-9;-38;-7;-17;;-3;-23;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;18;1;16;18;22;16;9;-6;-9;;17;11;
международная;;;;;;;;;;;;;
Сельские поселения;8;9;;2;4;16;8;-7;3;;39;1;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;7;8;;1;2;16;5;-7;5;;39;3;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;1;1;;1;2;;3;;-2;;0;-2;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;26;10;16;20;26;32;17;-13;-6;;56;12;
Доможировское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;53;-6;26;52;-35;-28;12;-34;-32;;-13;7;
в пределах России;;;;;;;;;;;;;
Сельские поселения;43;-9;20;25;-14;-33;13;-36;-28;;-27;8;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;2;-13;-25;0;-14;-5;7;-16;-22;;-18;1;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;41;4;45;25;0;-28;6;-20;-6;;-9;7;
международная;;;;;;;;;;;;;
Сельские поселения;10;3;6;27;-21;5;-1;2;-4;;14;-1;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;10;3;5;24;-25;5;0;4;-4;;12;0;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;;1;3;4;;-1;-2;;;2;-1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;51;7;51;52;-21;-23;5;-18;-10;;5;6;
Янегское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;-6;-28;18;129;104;7;34;-32;-38;;15;-51;
в пределах России;;;;;;;;;;;;;
Сельские поселения;-5;-33;18;113;92;-8;22;-52;-50;;1;-40;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-8;-24;-1;-14;7;-8;-11;-37;-30;;-23;-26;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;3;-9;19;127;85;0;33;-15;-20;;24;-14;
международная;;;;;;;;;;;;;
Сельские поселения;-1;5;;16;12;15;12;20;12;;14;-11;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;-1;5;;16;12;14;7;17;12;;14;-10;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;;;;;1;5;3;0;;;-1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;2;-4;19;143;97;15;45;5;-8;;38;-25;
Ломоносовский муниципальный район;;;;;;;;;;;;;
Ломоносовский муниципальный район;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Муниципальный район;168;121;462;-141;725;595;2444;2115;3743;2257;4058;5515;
в пределах России;;;;;;;;;;;;;
Муниципальный район;6;-29;56;8;516;483;2097;2026;3641;2018;3504;4821;
внутрирегиональная;;;;;;;;;;;;;
Муниципальный район;-58;-44;-108;-193;-89;-34;153;172;324;151;289;390;
межрегиональная;;;;;;;;;;;;;
Муниципальный район;64;15;164;201;605;517;1944;1854;3317;1867;3215;4431;
международная;;;;;;;;;;;;;
Муниципальный район;162;150;406;-149;209;112;347;89;102;239;554;694;
со странами СНГ;;;;;;;;;;;;;
Муниципальный район;129;116;375;-133;220;107;339;78;106;220;539;669;
с другими зарубежными странами;;;;;;;;;;;;;
Муниципальный район;33;34;31;-16;-11;5;8;11;-4;19;15;25;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Муниципальный район;226;165;570;52;814;629;2291;1943;3419;2106;3769;5125;
Большеижорское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;-40;-99;-73;0;-5;-42;6;-54;5;32;58;94;
в пределах России;;;;;;;;;;;;;
Городские поселения;-46;-105;-71;-12;-22;-48;9;-46;5;19;48;80;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;-17;-7;-11;-11;-10;-1;9;-6;-11;-2;-2;15;
межрегиональная;;;;;;;;;;;;;
Городские поселения;-29;-98;-60;-1;-12;-47;0;-40;16;21;50;65;
международная;;;;;;;;;;;;;
Городские поселения;6;6;-2;12;17;6;-3;-8;0;13;10;14;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;6;3;-4;12;18;6;-3;-7;0;8;11;16;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;;3;2;;-1;0;;-1;;5;-1;-2;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;-23;-92;-62;11;5;-41;-3;-48;16;34;60;79;
Аннинское.;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;;;;;;;;1030;1315;796;1146;1456;
в пределах России;;;;;;;;;;;;;
Городские поселения;;;;;;;;957;1257;705;990;1282;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;;;;;;;;123;122;52;74;150;
межрегиональная;;;;;;;;;;;;;
Городские поселения;;;;;;;;834;1135;653;916;1132;
международная;;;;;;;;;;;;;
Городские поселения;;;;;;;;73;58;91;156;174;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;;;;;;;;61;54;90;155;174;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;;;;;;;;12;4;1;1;0;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;;;;;;;;907;1193;744;1072;1306;
Виллозское.;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;;;;;;;;468;1026;1040;1531;2172;
в пределах России;;;;;;;;;;;;;
Городские поселения;;;;;;;;453;1009;955;1331;1891;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;;;;;;;;38;132;85;161;168;
межрегиональная;;;;;;;;;;;;;
Городские поселения;;;;;;;;415;877;870;1170;1723;
международная;;;;;;;;;;;;;
Городские поселения;;;;;;;;15;17;85;200;281;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;;;;;;;;12;15;83;191;265;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;;;;;;;;3;2;2;9;16;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;;;;;;;;430;894;955;1370;2004;
Лебяженское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;-43;-42;-61;-118;-86;-93;-14;-64;-11;-51;101;-20;
в пределах России;;;;;;;;;;;;;
Городские поселения;-51;-55;-62;-127;-93;-101;-23;-60;-3;-57;87;-16;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;-44;-5;-45;-41;-33;-80;-35;-24;-6;-9;-4;-16;
межрегиональная;;;;;;;;;;;;;
Городские поселения;-7;-50;-17;-86;-60;-21;12;-36;3;-48;91;0;
международная;;;;;;;;;;;;;
Городские поселения;8;13;1;9;7;8;9;-4;-8;6;14;-4;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;3;11;1;9;10;9;8;-3;-6;5;11;-5;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;5;2;;;-3;-1;1;-1;-2;1;3;1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;1;-37;-16;-77;-53;-13;21;-40;-5;-42;105;-4;
Аннинское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;7;-9;-7;-53;266;487;1111;;;;;;
в пределах России;;;;;;;;;;;;;
Сельские поселения;-8;-23;-61;-41;229;459;1014;;;;;;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-5;-11;-5;-19;25;65;102;;;;;;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;-3;-12;-56;-22;204;394;912;;;;;;
международная;;;;;;;;;;;;;
Сельские поселения;15;14;54;-12;37;28;97;;;;;;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;13;11;53;-13;33;26;94;;;;;;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;2;3;1;1;4;2;3;;;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;12;2;-2;-34;241;422;1009;;;;;;
Низинское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;31;49;26;11;20;68;183;252;275;;178;256;
в пределах России;;;;;;;;;;;;;
Сельские поселения;22;46;-7;31;2;53;148;230;269;;161;233;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-1;-9;-9;-1;-2;-4;11;12;18;;15;-13;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;23;55;2;32;4;57;137;218;251;;146;246;
международная;;;;;;;;;;;;;
Сельские поселения;9;3;33;-20;18;15;35;22;6;;17;23;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;7;2;30;-19;20;10;33;21;9;;15;18;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;2;1;3;-1;-2;5;2;1;-3;;2;5;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;32;58;35;12;22;72;172;240;257;;163;269;
Пениковское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;106;103;87;68;67;3;100;103;142;38;109;196;
в пределах России;;;;;;;;;;;;;
Сельские поселения;67;71;75;46;55;5;107;99;145;45;96;173;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;6;-3;4;-11;-6;3;13;-3;15;19;-8;26;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;61;74;71;57;61;2;94;102;130;26;104;147;
международная;;;;;;;;;;;;;
Сельские поселения;39;32;12;22;12;-2;-7;4;-3;-7;13;23;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;37;27;13;23;13;-1;-8;6;-2;-7;14;21;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;2;5;-1;-1;-1;-1;1;-2;-1;;-1;2;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;100;106;83;79;73;0;87;106;127;19;117;170;
Виллозское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;49;6;162;108;449;197;483;;;;;;
в пределах России;;;;;;;;;;;;;
Сельские поселения;46;1;150;92;436;174;408;;;;;;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;13;16;-2;-12;3;12;33;;;;;;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;33;-15;152;104;433;162;375;;;;;;
международная;;;;;;;;;;;;;
Сельские поселения;3;5;12;16;13;23;75;;;;;;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;2;4;12;15;13;23;73;;;;;;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;1;1;;1;0;0;2;;;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;36;-10;164;120;446;185;450;;;;;;
Гостилицкое;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;4;18;-15;-23;-22;-65;108;134;270;;247;259;
в пределах России;;;;;;;;;;;;;
Сельские поселения;-4;2;-42;-12;-29;-62;107;129;259;;220;238;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-2;-8;-24;-2;-6;-7;8;14;21;;2;15;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;-2;10;-18;-10;-23;-55;99;115;238;;218;223;
международная;;;;;;;;;;;;;
Сельские поселения;8;16;27;-11;7;-3;1;5;11;;27;21;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;5;13;24;-9;8;-2;5;5;12;;26;20;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;3;3;3;-2;-1;-1;-4;;-1;;1;1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;6;26;9;-21;-16;-58;100;120;249;;245;244;
Горбунковское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;36;123;80;77;29;39;86;52;305;2;160;68;
в пределах России;;;;;;;;;;;;;
Сельские поселения;17;106;70;66;2;29;63;48;299;-10;123;31;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;43;56;37;-14;-21;-7;-2;16;17;-20;10;-56;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;-26;50;33;80;23;36;65;32;282;10;113;87;
международная;;;;;;;;;;;;;
Сельские поселения;19;17;10;11;27;10;23;4;6;12;37;37;
